,drug,SE
0,41,SE3
0,44,SE3
0,45,SE3
0,47,SE3
0,48,SE3
0,50,SE3
0,54,SE3
0,56,SE3
0,58,SE3
0,59,SE3
0,60,SE3
0,62,SE3
0,63,SE3
0,64,SE3
0,66,SE3
0,67,SE3
0,68,SE3
0,71,SE3
0,76,SE3
0,77,SE3
0,80,SE3
0,81,SE3
0,82,SE3
0,83,SE3
0,84,SE3
0,85,SE3
0,86,SE3
0,87,SE3
0,88,SE3
0,89,SE3
0,90,SE3
0,91,SE3
0,93,SE3
0,95,SE3
0,96,SE3
0,97,SE3
0,98,SE3
0,99,SE3
0,101,SE3
0,102,SE3
0,103,SE3
0,104,SE3
0,105,SE3
0,107,SE3
0,109,SE3
0,110,SE3
0,112,SE3
0,114,SE3
0,117,SE3
0,121,SE3
0,122,SE3
0,123,SE3
0,128,SE3
0,129,SE3
0,130,SE3
0,131,SE3
0,134,SE3
0,135,SE3
0,137,SE3
0,138,SE3
0,141,SE3
0,143,SE3
0,144,SE3
0,146,SE3
0,147,SE3
0,150,SE3
0,152,SE3
0,155,SE3
0,156,SE3
0,157,SE3
0,158,SE3
0,159,SE3
0,160,SE3
0,161,SE3
0,162,SE3
0,163,SE3
0,164,SE3
0,168,SE3
0,170,SE3
0,171,SE3
0,174,SE3
0,178,SE3
0,184,SE3
0,186,SE3
0,188,SE3
0,189,SE3
0,191,SE3
0,194,SE3
0,196,SE3
0,198,SE3
0,199,SE3
0,200,SE3
0,201,SE3
0,202,SE3
0,203,SE3
0,205,SE3
0,207,SE3
0,208,SE3
0,209,SE3
0,210,SE3
0,213,SE3
0,215,SE3
0,217,SE3
0,220,SE3
0,222,SE3
0,223,SE3
0,225,SE3
0,227,SE3
0,229,SE3
0,231,SE3
0,232,SE3
0,233,SE3
0,235,SE3
0,236,SE3
0,237,SE3
0,238,SE3
0,239,SE3
0,240,SE3
0,242,SE3
0,243,SE3
0,247,SE3
0,249,SE3
0,250,SE3
0,251,SE3
0,252,SE3
0,255,SE3
0,257,SE3
0,258,SE3
0,259,SE3
0,260,SE3
0,261,SE3
0,262,SE3
0,266,SE3
0,267,SE3
0,270,SE3
0,271,SE3
0,275,SE3
0,276,SE3
0,277,SE3
0,278,SE3
0,279,SE3
0,280,SE3
0,281,SE3
0,282,SE3
0,284,SE3
0,286,SE3
0,287,SE3
0,289,SE3
0,290,SE3
0,292,SE3
0,296,SE3
0,297,SE3
0,299,SE3
0,303,SE3
0,305,SE3
0,307,SE3
0,310,SE3
0,311,SE3
0,312,SE3
0,313,SE3
0,315,SE3
0,319,SE3
0,320,SE3
0,322,SE3
0,326,SE3
0,327,SE3
0,328,SE3
0,331,SE3
0,333,SE3
0,334,SE3
0,336,SE3
0,338,SE3
0,339,SE3
0,341,SE3
0,343,SE3
0,345,SE3
0,346,SE3
0,350,SE3
0,351,SE3
0,352,SE3
0,353,SE3
0,354,SE3
0,356,SE3
0,357,SE3
0,363,SE3
0,366,SE3
0,369,SE3
0,370,SE3
0,371,SE3
0,375,SE3
0,377,SE3
0,379,SE3
0,380,SE3
0,382,SE3
0,384,SE3
0,385,SE3
0,386,SE3
0,388,SE3
0,390,SE3
0,391,SE3
0,392,SE3
0,393,SE3
0,395,SE3
0,396,SE3
0,400,SE3
0,402,SE3
0,405,SE3
0,406,SE3
0,407,SE3
0,408,SE3
0,409,SE3
0,411,SE3
0,412,SE3
0,413,SE3
0,415,SE3
0,420,SE3
0,421,SE3
0,422,SE3
0,423,SE3
0,426,SE3
0,429,SE3
0,431,SE3
0,433,SE3
0,434,SE3
0,435,SE3
0,436,SE3
0,438,SE3
0,439,SE3
0,442,SE3
0,445,SE3
0,448,SE3
0,449,SE3
0,450,SE3
0,452,SE3
0,453,SE3
0,454,SE3
0,459,SE3
0,461,SE3
0,462,SE3
0,463,SE3
0,464,SE3
0,465,SE3
0,466,SE3
0,469,SE3
0,471,SE3
0,474,SE3
0,475,SE3
0,476,SE3
0,480,SE3
0,482,SE3
0,485,SE3
0,486,SE3
0,488,SE3
0,493,SE3
0,495,SE3
0,497,SE3
0,498,SE3
0,500,SE3
0,501,SE3
0,503,SE3
0,507,SE3
0,508,SE3
0,510,SE3
0,511,SE3
0,513,SE3
0,514,SE3
0,517,SE3
0,518,SE3
0,523,SE3
0,527,SE3
0,528,SE3
0,529,SE3
0,530,SE3
0,531,SE3
0,532,SE3
0,533,SE3
0,535,SE3
0,536,SE3
0,537,SE3
0,538,SE3
0,539,SE3
0,541,SE3
0,543,SE3
0,544,SE3
0,548,SE3
0,550,SE3
0,551,SE3
0,552,SE3
0,555,SE3
0,556,SE3
0,557,SE3
0,559,SE3
0,563,SE3
0,564,SE3
0,565,SE3
0,568,SE3
0,570,SE3
0,572,SE3
0,573,SE3
0,574,SE3
0,575,SE3
0,576,SE3
0,578,SE3
0,580,SE3
0,586,SE3
0,587,SE3
0,590,SE3
0,591,SE3
0,592,SE3
0,593,SE3
0,594,SE3
0,597,SE3
0,600,SE3
0,601,SE3
0,602,SE3
0,603,SE3
0,604,SE3
0,606,SE3
0,609,SE3
0,611,SE3
0,613,SE3
0,614,SE3
0,615,SE3
0,616,SE3
0,618,SE3
0,623,SE3
0,624,SE3
0,627,SE3
0,629,SE3
0,637,SE3
0,638,SE3
0,639,SE3
0,641,SE3
0,642,SE3
0,645,SE3
0,648,SE3
0,649,SE3
0,650,SE3
0,651,SE3
0,653,SE3
0,654,SE3
0,657,SE3
0,659,SE3
0,666,SE3
0,667,SE3
0,669,SE3
0,670,SE3
0,671,SE3
0,673,SE3
0,674,SE3
0,675,SE3
0,676,SE3
0,677,SE3
0,678,SE3
0,680,SE3
0,682,SE3
0,683,SE3
0,684,SE3
0,687,SE3
0,688,SE3
0,689,SE3
0,690,SE3
0,691,SE3
0,693,SE3
0,694,SE3
0,699,SE3
0,701,SE3
0,702,SE3
0,704,SE3
0,707,SE3
0,710,SE3
0,712,SE3
0,713,SE3
0,715,SE3
0,717,SE3
0,718,SE3
0,719,SE3
0,720,SE3
0,722,SE3
0,723,SE3
0,724,SE3
0,725,SE3
0,727,SE3
0,728,SE3
0,731,SE3
0,732,SE3
0,733,SE3
0,739,SE3
0,742,SE3
0,748,SE3
0,749,SE3
0,751,SE3
0,753,SE3
0,760,SE3
0,762,SE3
0,764,SE3
0,765,SE3
0,766,SE3
0,767,SE3
0,773,SE3
0,775,SE3
0,780,SE3
0,781,SE3
0,782,SE3
0,783,SE3
0,788,SE3
0,789,SE3
0,792,SE3
0,796,SE3
0,798,SE3
0,801,SE3
0,803,SE3
0,804,SE3
0,805,SE3
0,806,SE3
0,807,SE3
0,808,SE3
0,809,SE3
0,810,SE3
0,813,SE3
0,816,SE3
0,821,SE3
0,822,SE3
0,823,SE3
0,826,SE3
0,828,SE3
0,830,SE3
0,41,SE4
0,78,SE4
0,137,SE4
0,303,SE4
0,315,SE4
0,345,SE4
0,425,SE4
0,498,SE4
0,533,SE4
0,537,SE4
0,542,SE4
0,575,SE4
0,616,SE4
0,666,SE4
0,675,SE4
0,702,SE4
0,721,SE4
0,728,SE4
0,731,SE4
0,788,SE4
0,801,SE4
0,35,SE5
0,78,SE5
0,160,SE5
0,168,SE5
0,303,SE5
0,370,SE5
0,451,SE5
0,537,SE5
0,576,SE5
0,535,SE6
0,537,SE6
0,25,SE7
0,35,SE7
0,41,SE7
0,47,SE7
0,50,SE7
0,58,SE7
0,62,SE7
0,84,SE7
0,101,SE7
0,110,SE7
0,121,SE7
0,122,SE7
0,137,SE7
0,213,SE7
0,231,SE7
0,246,SE7
0,252,SE7
0,264,SE7
0,280,SE7
0,297,SE7
0,315,SE7
0,334,SE7
0,345,SE7
0,356,SE7
0,364,SE7
0,370,SE7
0,386,SE7
0,409,SE7
0,411,SE7
0,416,SE7
0,425,SE7
0,433,SE7
0,435,SE7
0,454,SE7
0,469,SE7
0,475,SE7
0,485,SE7
0,490,SE7
0,503,SE7
0,537,SE7
0,544,SE7
0,562,SE7
0,564,SE7
0,565,SE7
0,567,SE7
0,575,SE7
0,589,SE7
0,613,SE7
0,614,SE7
0,616,SE7
0,639,SE7
0,641,SE7
0,650,SE7
0,660,SE7
0,669,SE7
0,673,SE7
0,675,SE7
0,702,SE7
0,762,SE7
0,781,SE7
0,788,SE7
0,792,SE7
0,801,SE7
0,291,SE8
0,3,SE9
0,11,SE9
0,20,SE9
0,30,SE9
0,31,SE9
0,41,SE9
0,50,SE9
0,54,SE9
0,60,SE9
0,61,SE9
0,76,SE9
0,77,SE9
0,87,SE9
0,89,SE9
0,102,SE9
0,120,SE9
0,137,SE9
0,138,SE9
0,150,SE9
0,155,SE9
0,175,SE9
0,203,SE9
0,218,SE9
0,248,SE9
0,252,SE9
0,261,SE9
0,303,SE9
0,312,SE9
0,330,SE9
0,350,SE9
0,357,SE9
0,366,SE9
0,379,SE9
0,393,SE9
0,399,SE9
0,400,SE9
0,401,SE9
0,411,SE9
0,417,SE9
0,425,SE9
0,427,SE9
0,477,SE9
0,515,SE9
0,527,SE9
0,549,SE9
0,565,SE9
0,575,SE9
0,589,SE9
0,590,SE9
0,602,SE9
0,613,SE9
0,616,SE9
0,650,SE9
0,661,SE9
0,689,SE9
0,693,SE9
0,700,SE9
0,733,SE9
0,768,SE9
0,774,SE9
0,788,SE9
0,31,SE10
0,77,SE10
0,89,SE10
0,113,SE10
0,278,SE10
0,724,SE10
0,82,SE11
0,497,SE11
0,707,SE11
0,20,SE12
0,41,SE12
0,49,SE12
0,58,SE12
0,88,SE12
0,207,SE12
0,215,SE12
0,259,SE12
0,265,SE12
0,278,SE12
0,279,SE12
0,302,SE12
0,307,SE12
0,311,SE12
0,315,SE12
0,361,SE12
0,370,SE12
0,502,SE12
0,537,SE12
0,555,SE12
0,571,SE12
0,575,SE12
0,689,SE12
0,728,SE12
0,792,SE12
0,821,SE12
0,826,SE12
0,7,SE13
0,282,SE13
0,345,SE13
0,422,SE13
0,575,SE13
0,675,SE13
0,800,SE13
0,101,SE14
0,133,SE14
0,137,SE14
0,259,SE14
0,315,SE14
0,345,SE14
0,348,SE14
0,542,SE14
0,613,SE14
0,675,SE14
0,722,SE14
0,498,SE15
0,281,SE16
0,137,SE17
0,153,SE17
0,433,SE17
0,530,SE17
0,660,SE17
0,693,SE17
0,707,SE17
0,721,SE17
0,724,SE17
0,778,SE17
0,780,SE17
0,801,SE17
0,807,SE17
0,20,SE18
0,334,SE19
0,1,SE20
0,2,SE20
0,5,SE20
0,11,SE20
0,14,SE20
0,17,SE20
0,20,SE20
0,29,SE20
0,30,SE20
0,35,SE20
0,36,SE20
0,37,SE20
0,38,SE20
0,39,SE20
0,41,SE20
0,44,SE20
0,48,SE20
0,51,SE20
0,52,SE20
0,53,SE20
0,54,SE20
0,56,SE20
0,64,SE20
0,65,SE20
0,69,SE20
0,72,SE20
0,77,SE20
0,78,SE20
0,82,SE20
0,84,SE20
0,89,SE20
0,93,SE20
0,101,SE20
0,104,SE20
0,117,SE20
0,118,SE20
0,126,SE20
0,131,SE20
0,134,SE20
0,136,SE20
0,153,SE20
0,156,SE20
0,158,SE20
0,161,SE20
0,162,SE20
0,167,SE20
0,168,SE20
0,170,SE20
0,174,SE20
0,182,SE20
0,184,SE20
0,185,SE20
0,192,SE20
0,193,SE20
0,199,SE20
0,200,SE20
0,203,SE20
0,206,SE20
0,228,SE20
0,229,SE20
0,239,SE20
0,243,SE20
0,259,SE20
0,260,SE20
0,261,SE20
0,265,SE20
0,266,SE20
0,268,SE20
0,269,SE20
0,270,SE20
0,273,SE20
0,279,SE20
0,285,SE20
0,288,SE20
0,290,SE20
0,297,SE20
0,302,SE20
0,303,SE20
0,304,SE20
0,305,SE20
0,307,SE20
0,309,SE20
0,311,SE20
0,313,SE20
0,314,SE20
0,315,SE20
0,316,SE20
0,328,SE20
0,331,SE20
0,332,SE20
0,333,SE20
0,334,SE20
0,335,SE20
0,336,SE20
0,338,SE20
0,343,SE20
0,352,SE20
0,353,SE20
0,362,SE20
0,371,SE20
0,376,SE20
0,377,SE20
0,382,SE20
0,384,SE20
0,386,SE20
0,389,SE20
0,390,SE20
0,391,SE20
0,394,SE20
0,406,SE20
0,408,SE20
0,409,SE20
0,417,SE20
0,425,SE20
0,429,SE20
0,435,SE20
0,438,SE20
0,442,SE20
0,444,SE20
0,445,SE20
0,450,SE20
0,456,SE20
0,464,SE20
0,479,SE20
0,482,SE20
0,483,SE20
0,484,SE20
0,485,SE20
0,487,SE20
0,493,SE20
0,498,SE20
0,499,SE20
0,505,SE20
0,506,SE20
0,509,SE20
0,516,SE20
0,522,SE20
0,526,SE20
0,527,SE20
0,530,SE20
0,531,SE20
0,534,SE20
0,538,SE20
0,541,SE20
0,548,SE20
0,549,SE20
0,554,SE20
0,558,SE20
0,560,SE20
0,561,SE20
0,564,SE20
0,565,SE20
0,568,SE20
0,575,SE20
0,580,SE20
0,584,SE20
0,585,SE20
0,589,SE20
0,590,SE20
0,591,SE20
0,598,SE20
0,606,SE20
0,607,SE20
0,609,SE20
0,615,SE20
0,616,SE20
0,617,SE20
0,620,SE20
0,623,SE20
0,632,SE20
0,634,SE20
0,637,SE20
0,638,SE20
0,643,SE20
0,644,SE20
0,659,SE20
0,663,SE20
0,665,SE20
0,667,SE20
0,671,SE20
0,676,SE20
0,678,SE20
0,690,SE20
0,693,SE20
0,694,SE20
0,695,SE20
0,701,SE20
0,702,SE20
0,705,SE20
0,712,SE20
0,713,SE20
0,719,SE20
0,723,SE20
0,724,SE20
0,727,SE20
0,728,SE20
0,730,SE20
0,735,SE20
0,736,SE20
0,738,SE20
0,749,SE20
0,751,SE20
0,754,SE20
0,755,SE20
0,758,SE20
0,764,SE20
0,767,SE20
0,768,SE20
0,770,SE20
0,773,SE20
0,776,SE20
0,777,SE20
0,778,SE20
0,779,SE20
0,781,SE20
0,783,SE20
0,784,SE20
0,786,SE20
0,792,SE20
0,794,SE20
0,802,SE20
0,803,SE20
0,805,SE20
0,806,SE20
0,811,SE20
0,821,SE20
0,828,SE20
0,831,SE20
0,24,SE21
0,25,SE21
0,34,SE21
0,48,SE21
0,50,SE21
0,56,SE21
0,61,SE21
0,67,SE21
0,75,SE21
0,77,SE21
0,83,SE21
0,84,SE21
0,85,SE21
0,89,SE21
0,134,SE21
0,137,SE21
0,146,SE21
0,160,SE21
0,201,SE21
0,217,SE21
0,222,SE21
0,240,SE21
0,252,SE21
0,259,SE21
0,261,SE21
0,266,SE21
0,271,SE21
0,297,SE21
0,303,SE21
0,305,SE21
0,312,SE21
0,330,SE21
0,346,SE21
0,355,SE21
0,386,SE21
0,408,SE21
0,411,SE21
0,420,SE21
0,425,SE21
0,454,SE21
0,464,SE21
0,468,SE21
0,485,SE21
0,498,SE21
0,503,SE21
0,509,SE21
0,527,SE21
0,539,SE21
0,549,SE21
0,551,SE21
0,565,SE21
0,575,SE21
0,578,SE21
0,583,SE21
0,604,SE21
0,615,SE21
0,618,SE21
0,642,SE21
0,675,SE21
0,676,SE21
0,685,SE21
0,689,SE21
0,704,SE21
0,707,SE21
0,717,SE21
0,724,SE21
0,728,SE21
0,737,SE21
0,757,SE21
0,781,SE21
0,788,SE21
0,789,SE21
0,792,SE21
0,803,SE21
0,809,SE21
0,821,SE21
0,826,SE21
0,2,SE22
0,691,SE22
0,91,SE23
0,137,SE23
0,370,SE23
0,392,SE23
0,434,SE23
0,498,SE23
0,678,SE23
0,684,SE23
0,441,SE24
0,177,SE25
0,246,SE25
0,313,SE25
0,330,SE25
0,386,SE25
0,411,SE25
0,417,SE25
0,490,SE25
0,549,SE25
0,567,SE25
0,660,SE25
0,698,SE25
0,788,SE25
0,801,SE25
0,819,SE25
0,67,SE26
0,77,SE26
0,345,SE26
0,572,SE26
0,809,SE26
0,109,SE27
0,110,SE27
0,144,SE27
0,201,SE27
0,203,SE27
0,323,SE27
0,345,SE27
0,356,SE27
0,381,SE27
0,409,SE27
0,434,SE27
0,454,SE27
0,702,SE27
0,1,SE28
0,3,SE28
0,7,SE28
0,8,SE28
0,11,SE28
0,14,SE28
0,15,SE28
0,17,SE28
0,20,SE28
0,24,SE28
0,25,SE28
0,28,SE28
0,31,SE28
0,33,SE28
0,34,SE28
0,35,SE28
0,38,SE28
0,41,SE28
0,45,SE28
0,47,SE28
0,48,SE28
0,50,SE28
0,51,SE28
0,53,SE28
0,55,SE28
0,59,SE28
0,62,SE28
0,63,SE28
0,67,SE28
0,68,SE28
0,74,SE28
0,75,SE28
0,77,SE28
0,78,SE28
0,80,SE28
0,83,SE28
0,84,SE28
0,85,SE28
0,86,SE28
0,89,SE28
0,91,SE28
0,99,SE28
0,101,SE28
0,105,SE28
0,110,SE28
0,121,SE28
0,124,SE28
0,126,SE28
0,127,SE28
0,134,SE28
0,135,SE28
0,137,SE28
0,141,SE28
0,147,SE28
0,150,SE28
0,152,SE28
0,155,SE28
0,160,SE28
0,162,SE28
0,168,SE28
0,169,SE28
0,170,SE28
0,172,SE28
0,173,SE28
0,174,SE28
0,178,SE28
0,179,SE28
0,183,SE28
0,185,SE28
0,186,SE28
0,194,SE28
0,198,SE28
0,199,SE28
0,200,SE28
0,203,SE28
0,204,SE28
0,207,SE28
0,208,SE28
0,213,SE28
0,214,SE28
0,215,SE28
0,221,SE28
0,223,SE28
0,227,SE28
0,229,SE28
0,231,SE28
0,233,SE28
0,236,SE28
0,237,SE28
0,243,SE28
0,247,SE28
0,250,SE28
0,251,SE28
0,255,SE28
0,257,SE28
0,259,SE28
0,260,SE28
0,261,SE28
0,265,SE28
0,267,SE28
0,269,SE28
0,270,SE28
0,271,SE28
0,276,SE28
0,280,SE28
0,281,SE28
0,282,SE28
0,285,SE28
0,286,SE28
0,287,SE28
0,289,SE28
0,290,SE28
0,291,SE28
0,292,SE28
0,296,SE28
0,297,SE28
0,303,SE28
0,307,SE28
0,309,SE28
0,310,SE28
0,311,SE28
0,314,SE28
0,315,SE28
0,316,SE28
0,320,SE28
0,321,SE28
0,323,SE28
0,327,SE28
0,328,SE28
0,331,SE28
0,332,SE28
0,333,SE28
0,334,SE28
0,337,SE28
0,340,SE28
0,342,SE28
0,343,SE28
0,345,SE28
0,348,SE28
0,353,SE28
0,356,SE28
0,361,SE28
0,365,SE28
0,370,SE28
0,371,SE28
0,377,SE28
0,380,SE28
0,386,SE28
0,390,SE28
0,392,SE28
0,403,SE28
0,406,SE28
0,408,SE28
0,409,SE28
0,411,SE28
0,414,SE28
0,415,SE28
0,416,SE28
0,417,SE28
0,423,SE28
0,425,SE28
0,426,SE28
0,429,SE28
0,433,SE28
0,435,SE28
0,446,SE28
0,449,SE28
0,455,SE28
0,456,SE28
0,462,SE28
0,464,SE28
0,465,SE28
0,469,SE28
0,473,SE28
0,474,SE28
0,483,SE28
0,484,SE28
0,485,SE28
0,487,SE28
0,495,SE28
0,498,SE28
0,500,SE28
0,502,SE28
0,503,SE28
0,508,SE28
0,509,SE28
0,513,SE28
0,514,SE28
0,516,SE28
0,517,SE28
0,522,SE28
0,525,SE28
0,530,SE28
0,531,SE28
0,533,SE28
0,535,SE28
0,537,SE28
0,538,SE28
0,539,SE28
0,542,SE28
0,552,SE28
0,555,SE28
0,556,SE28
0,557,SE28
0,558,SE28
0,559,SE28
0,563,SE28
0,564,SE28
0,568,SE28
0,572,SE28
0,573,SE28
0,575,SE28
0,578,SE28
0,580,SE28
0,586,SE28
0,590,SE28
0,592,SE28
0,594,SE28
0,597,SE28
0,600,SE28
0,602,SE28
0,604,SE28
0,605,SE28
0,606,SE28
0,610,SE28
0,613,SE28
0,615,SE28
0,616,SE28
0,618,SE28
0,620,SE28
0,622,SE28
0,627,SE28
0,629,SE28
0,632,SE28
0,633,SE28
0,634,SE28
0,638,SE28
0,641,SE28
0,642,SE28
0,648,SE28
0,649,SE28
0,650,SE28
0,654,SE28
0,658,SE28
0,659,SE28
0,664,SE28
0,665,SE28
0,666,SE28
0,672,SE28
0,674,SE28
0,675,SE28
0,676,SE28
0,678,SE28
0,682,SE28
0,687,SE28
0,689,SE28
0,690,SE28
0,691,SE28
0,692,SE28
0,693,SE28
0,694,SE28
0,702,SE28
0,704,SE28
0,705,SE28
0,706,SE28
0,707,SE28
0,712,SE28
0,713,SE28
0,717,SE28
0,720,SE28
0,721,SE28
0,722,SE28
0,723,SE28
0,724,SE28
0,725,SE28
0,727,SE28
0,731,SE28
0,732,SE28
0,736,SE28
0,738,SE28
0,748,SE28
0,750,SE28
0,751,SE28
0,753,SE28
0,755,SE28
0,760,SE28
0,761,SE28
0,764,SE28
0,766,SE28
0,767,SE28
0,768,SE28
0,770,SE28
0,773,SE28
0,777,SE28
0,779,SE28
0,780,SE28
0,781,SE28
0,782,SE28
0,783,SE28
0,784,SE28
0,786,SE28
0,788,SE28
0,789,SE28
0,792,SE28
0,794,SE28
0,800,SE28
0,803,SE28
0,807,SE28
0,809,SE28
0,810,SE28
0,812,SE28
0,821,SE28
0,826,SE28
0,828,SE28
0,34,SE29
0,41,SE29
0,77,SE29
0,183,SE29
0,261,SE29
0,285,SE29
0,352,SE29
0,409,SE29
0,465,SE29
0,481,SE29
0,634,SE29
0,676,SE29
0,778,SE29
0,792,SE29
0,821,SE29
0,5,SE30
0,10,SE30
0,13,SE30
0,14,SE30
0,24,SE30
0,25,SE30
0,30,SE30
0,34,SE30
0,41,SE30
0,46,SE30
0,50,SE30
0,56,SE30
0,61,SE30
0,68,SE30
0,75,SE30
0,77,SE30
0,80,SE30
0,83,SE30
0,84,SE30
0,86,SE30
0,89,SE30
0,90,SE30
0,91,SE30
0,110,SE30
0,137,SE30
0,150,SE30
0,174,SE30
0,184,SE30
0,186,SE30
0,213,SE30
0,220,SE30
0,222,SE30
0,223,SE30
0,237,SE30
0,247,SE30
0,280,SE30
0,291,SE30
0,297,SE30
0,315,SE30
0,320,SE30
0,330,SE30
0,334,SE30
0,346,SE30
0,354,SE30
0,379,SE30
0,386,SE30
0,405,SE30
0,408,SE30
0,411,SE30
0,425,SE30
0,435,SE30
0,454,SE30
0,464,SE30
0,465,SE30
0,469,SE30
0,509,SE30
0,517,SE30
0,539,SE30
0,549,SE30
0,551,SE30
0,562,SE30
0,563,SE30
0,564,SE30
0,572,SE30
0,576,SE30
0,590,SE30
0,595,SE30
0,615,SE30
0,628,SE30
0,641,SE30
0,642,SE30
0,650,SE30
0,683,SE30
0,687,SE30
0,690,SE30
0,693,SE30
0,700,SE30
0,709,SE30
0,725,SE30
0,760,SE30
0,781,SE30
0,788,SE30
0,789,SE30
0,792,SE30
0,803,SE30
0,821,SE30
0,823,SE30
0,7,SE31
0,8,SE31
0,13,SE31
0,24,SE31
0,31,SE31
0,33,SE31
0,34,SE31
0,35,SE31
0,41,SE31
0,45,SE31
0,50,SE31
0,52,SE31
0,55,SE31
0,65,SE31
0,72,SE31
0,83,SE31
0,89,SE31
0,91,SE31
0,101,SE31
0,110,SE31
0,137,SE31
0,153,SE31
0,155,SE31
0,174,SE31
0,182,SE31
0,184,SE31
0,192,SE31
0,201,SE31
0,213,SE31
0,220,SE31
0,225,SE31
0,229,SE31
0,231,SE31
0,271,SE31
0,281,SE31
0,288,SE31
0,315,SE31
0,320,SE31
0,327,SE31
0,334,SE31
0,345,SE31
0,348,SE31
0,408,SE31
0,415,SE31
0,435,SE31
0,469,SE31
0,471,SE31
0,498,SE31
0,502,SE31
0,514,SE31
0,530,SE31
0,539,SE31
0,554,SE31
0,564,SE31
0,575,SE31
0,578,SE31
0,597,SE31
0,613,SE31
0,622,SE31
0,649,SE31
0,658,SE31
0,664,SE31
0,695,SE31
0,696,SE31
0,704,SE31
0,722,SE31
0,735,SE31
0,754,SE31
0,755,SE31
0,773,SE31
0,781,SE31
0,786,SE31
0,792,SE31
0,807,SE31
0,809,SE31
0,821,SE31
0,828,SE31
0,31,SE32
0,4,SE33
0,5,SE33
0,11,SE33
0,13,SE33
0,24,SE33
0,28,SE33
0,33,SE33
0,34,SE33
0,35,SE33
0,40,SE33
0,41,SE33
0,46,SE33
0,48,SE33
0,49,SE33
0,50,SE33
0,54,SE33
0,56,SE33
0,59,SE33
0,62,SE33
0,67,SE33
0,75,SE33
0,80,SE33
0,83,SE33
0,85,SE33
0,88,SE33
0,89,SE33
0,91,SE33
0,101,SE33
0,106,SE33
0,110,SE33
0,121,SE33
0,123,SE33
0,137,SE33
0,146,SE33
0,155,SE33
0,158,SE33
0,170,SE33
0,174,SE33
0,184,SE33
0,186,SE33
0,218,SE33
0,220,SE33
0,222,SE33
0,229,SE33
0,231,SE33
0,237,SE33
0,247,SE33
0,261,SE33
0,271,SE33
0,275,SE33
0,276,SE33
0,280,SE33
0,286,SE33
0,297,SE33
0,298,SE33
0,312,SE33
0,315,SE33
0,320,SE33
0,327,SE33
0,328,SE33
0,330,SE33
0,334,SE33
0,345,SE33
0,346,SE33
0,356,SE33
0,361,SE33
0,362,SE33
0,379,SE33
0,386,SE33
0,389,SE33
0,392,SE33
0,406,SE33
0,408,SE33
0,411,SE33
0,416,SE33
0,423,SE33
0,433,SE33
0,434,SE33
0,435,SE33
0,439,SE33
0,442,SE33
